id,community,text,
1421337843083927552,franz kafka,His name wasn't Roberta.  Can't your lowly content farmhands respect the dead https://t.co/xdr6V7pa1R,
1421340358378758151,franz kafka,@TeamYouTube @AdumPlaze Did you guys read Kafka’s “The Trial” once too many times?… “You’re guilty but we won’t tell you what’s your crime” is straight from the “Dictatorship 101” manual…,
1421341068390502402,franz kafka,63. Kafka Dir. Steven Soderbergh   Don’t ask me how I am watching this. https://t.co/O9BnHkLtst,
1421346745846403072,franz kafka,Who wouldn't love receiving Kafka's Metamorphosis in a paper bag with a cucaracha shitting a heart? Guys never understand me. 😆 https://t.co/ZgMtoWtcJZ,
1421348348502495233,franz kafka,"【Hinduism 3】 Hinduism is a ""metaparadigm."" The quantum computer is Brahma. The theory of relativity is Shiva. Global capitalism is Vishnu. The rhizome is goddess. The monotheism is Brahma. Kafka's literature is Shiva. Formalism mathematics is Vishnu. Evo-Devo is goddess.",
1421348358053040128,franz kafka,ive got scraps of bars written down and half assed stories and a couple of first chapters typed in microsoft word on my computer all im saying is im like the kafka of my time,
1421349976500629504,franz kafka,"I'll just slap my kafka for Elysia and be done with it. For a G4 stigma, Her signature stigma effect look so basic. No impair. No sp regen",
1421354704412594179,franz kafka,@benegotherit Could be worse.   They could have just read Kafka.,
1421359511760252930,franz kafka,Kafka then Mr. Nothing and then i switched to the other banner and they gave me a 5* to get my hopes up and it was meteorite and not reed and then THEY ALSO GAVE ME REED https://t.co/odyTWgo63H,
1421362862589571078,franz kafka,"@Wiroll When I become a lawyer, I want my firm to be named Kafka Esq.",
1421363795587485697,apache kafka,"More IT nonsense: a Java ""database"" that doesn't support ACID and isn't ANSI SQL compliant.  No, I don't want to know: I've seen first hand what a piece of crap this program is.  One can get more use out of roll-your-own SQLite nodes and R programming language on top.",
1421364763230183425,franz kafka,@mikegove12 ‘quote kafka to a tramp’ really got me 🤣🤣,
1421364925709135875,franz kafka,"“Love can rebuild the world, they say, so everything's possible when it comes to love.”   „Kafka on the Shore“ by Haruki Murakami  #readingtime #WritingCommunity #booklover #readerscommunity #bookaholic #bookaddict #books #Writer",
1421365014007590913,franz kafka,@casparhenderson I loved that. I sometimes wonder how much of the humour in Kafka was intentional. Was he deliberately trying to relieve the pressure or were his jokes the accidents of an anxious man?,
1421367190226411520,franz kafka,IELTS here I come 🤸🏾‍♀️,
1421374070063607811,franz kafka,I think watching the otoko mizugi challenge tag get slowly populated by busty characters from people who didn't get the point was exactly like kafka,
1421374692691111940,franz kafka,"Wow @NSWHealth you have excelled yourself. Sent me 2x SMS cancelling my vax shots, told me to log in and reschedule. I log on and it says no appointments can be made. Kafka would be proud of you. Me, not so much. https://t.co/A4OuPubeoO",
1421375390572900357,franz kafka,@mattbc This is a Kafka fucking dystopian hellscape.,
1421375584857477123,franz kafka,"A fine obituary of Roberto Calasso in New York Times  Renaissance Man of Letters, Dies at 80. A Florentine by birth, he was a polymath as an author and publisher (Kafka, Verdic philosophy, Greek mythology) who reached a wide international readership.   https://t.co/HYNW78YxSf",
1421375639794425858,franz kafka,Opinion | 'The Green Knight' is the best medieval takedown since 'Monty Python and the Holy Grail' https://t.co/b6CJKMg3OJ,
1421379420015644673,franz kafka,“Memories warm you up from the inside. But they also tear you apart.” —————————————— Kafka on the Shore Haruki Murakami,
1421379927711129600,franz kafka,"“It's like Tolstoy said. Happiness is an allegory, unhappiness a story.”  ― Haruki Murakami, Kafka on the Shore #writingcommunity #writerslife #writerschat #writerscafe #murakami https://t.co/ckj2Bfaogl",
1421384567252946949,franz kafka,"@Vic_Rollison @lynlinking Perceptions are important. Cohort you refer to -huge .Difference  between the parties -narrowing .labor messages -mixed. Strong confluent narrative for people to get behind , be enthusiastic for, not happening. Where is the line in the sand? Eg Double the Dole",
1421384642268123146,franz kafka,"A fine obituary of Roberto Calasso in New York Times  Renaissance Man of Letters, Dies at 80. A Florentine by birth, he was a polymath as an author and publisher (Kafka, Vedic philosophy, Greek mythology) who reached a wide international readership.  https://t.co/HYNW78YxSf",
1421385214148894721,franz kafka,'The Green Knight' is the best medieval takedown since 'Monty Python and the Holy Grail' https://t.co/yQMJQJtb5t,
1421385351701073922,franz kafka,"@Matthew82069336 Worst. most evil home secretary in my lifetime, which is an achievement of sorts...  Funny thing is, I thought the same of Javid before here.  Kafka would have dismissed this storyline as too implausible.",
1421385907584880643,franz kafka,A trial so dirty even Kafka would be perplexed!   Finally available on Netflix:   https://t.co/CCJxH7ZA4u,
1421386364017385472,franz kafka,I was introduced to Roberto Calasso’s books last year. Can 100% recommend: totally unlike anything else I’ve read.,
1421386398242938883,franz kafka,"@mikegove12 ""quote Kafka at a tramp...""  Genius writing.... I'm not so sure this is parody..😉",
1421387633645654017,apache kafka,Field Notes: Deliver Messages Using an IoT Rule Action to Amazon Managed Streaming for Apache Kafka https://t.co/xYbcPmTazL,
1421388253207269379,franz kafka,"@_SarahMcPhee Saw your SMH story. FYI the 2 week Covid cad delay is news to me. I’m in Newcastle, got these texts, logged on to reschedule as instructed, there are NO appointments. None. Feel like I’ve been hoodwinked here. I’m sure I’m not the only angry “regional” this weekend.",
1421389434839261185,franz kafka,"Is anyone near the New Jewish Cemetery, Prague, Czechia?  Could you nip along and have a listen; because I’m pretty sure Kafka may be rotating.  “They said I was exaggerating!!!” https://t.co/sVrUEry9TY",
1421391823424065538,franz kafka,"To read Calasso was to enter the inner sanctum of the temple, to sit with the ancients in the agora, to ride with the aryans, to converse with great minds. I was never sure if I understood but was always in ‘rapture’ and so glad he had lived and wrote.",
1421393032411234307,franz kafka,@ShoaibMKhan @HughJaeger Even Kafka would have thought that too ridiculous to be satire.,
1421394979725844481,franz kafka,"Dev Patel is going places alright! Hi career trajectory feels much similar to Leonardo Di Caprio one, methinks..   Opinion | 'The Green Knight' is the best medieval takedown since 'Monty Python and the Holy Grail' https://t.co/ugczTg07h4",
1421395468718911489,franz kafka,"Indeed, @decasia's THE FILM OF HER made me think of memories, of dreaming, and of Kafka a bit. My take at the blog/newsletter https://t.co/cSelDr66gn",
1421396702200844291,apache kafka,@marc0der @apachekafka It seems that you need docker-compose for that one. I need one single docker image that I can run without docker-compose because for CI is easier to run and manage.,
1421399734044876802,franz kafka,"Silence, I discover, is something you can actually hear.            ― Haruki Murakami,  Kafka on the Shore https://t.co/CbNvkeqKuL",
1421399975636971520,apache kafka,"@beberlei @dunglas I was more thinking Kafka, at 10 years old think it might be somewhat boring, if operationally complex. Though if on AWS MSK can relieve aspects of that pain. But if your already on RMQ I can see the allure of the new streaming feature!",
1421400144638054402,apache kafka,@ilopmar @marc0der @apachekafka You know what else runs great both locally and in CIs? 😋,
1421401044794421248,franz kafka,Isolated from the word salad produced by visitors to the Goethehaus from Schiller to Kafka his beloved footage.,
1421401426308304901,franz kafka,Priti Patel's been using Kafka novels as an instruction manual again.,
1421403264592060417,apache kafka,"@bwaine @beberlei I think that the goal was to avoid the complexity of Kafka. Another alternative is @apache_pulsar, which is great and don’t need ZooKeeper.",
1421403479877292032,franz kafka,nah ill just wait to get kafka lol,
1421405065777197061,franz kafka,"@VicMorrigan its a kafka quote from metamorphosis, but it was also very fitting 😉",
1421406010808229893,franz kafka,saw my frez did  kafka solo on 8-14 AS...what a simp,
1421407000634826761,franz kafka,"@CraigMurrayOrg OK fine Craig, thanks for update. Plenty of time for reading and writing in peace, so you will probably be writing History as well as making it. See you later once this Kafka crap vanishes into absurdity and inertia. Will pray too. Cheers.",
1421407237940129792,franz kafka,Try not to read a book by its cover. The contents can be vast and difficult to understand easily / quickly,
1421407437458915330,apache kafka,@dunglas @bwaine @apache_pulsar Yes my sources tell me that operating Kafka is a huge burden. We are not on AWS or other services that offer managed Kafka. So this would all fall on our small team that prefers developing code and supporting customers and not operating things :),
1421408813262032896,apache kafka,@bsideup @marc0der @apachekafka Hahaha. I know but for this use case I can't use Testcontainers. I start the Micronaut GraalVM test application and it needs to connect to the Kafka server,
1421410436805693450,apache kafka,@beberlei @bwaine @apache_pulsar I can confirm what your sources told you 🙂. IBM Cloud and Heroku provide good managed versions of Kafka for what it’s worth (I never tried the AWS version).,
1421413056647737347,franz kafka,"let's flip a golf plot My drive is for you to put your face in a hole like ostriches if you gotta cough  So LF95 is like a cough drop meets Kafka, meets Bane That's a birdie, let's keep playing Birdbox on a sunken ship full of coins, A sea change https://t.co/V7Ir1ZLfGt",
1421415626195734528,franz kafka,Data infrastructure software maker Confluent raises $828M in its US IPO at a valuation of about $9B; Confluent was last valued at $4.5B last year (Bloomberg) https://t.co/Diz61Gyb4Z #technology,
1421415697574285315,franz kafka,A bridge that connected western intellectual thought with ancient Indian philosophy is no more. A huge loss.,
1421416022112972800,apache kafka,@ilopmar @bsideup @marc0der @apachekafka Looks like there are 2 containers whose lifecycles need to be managed from a test. https://t.co/xcSJLxIU6s,
1421416064601235460,franz kafka,His book 'The Marriage of Cadmus and Harmony' absolutely made my head spin; completely changed the way I thought about myths.,
1421417920270266368,apache kafka,"GitHub Trending Archive, 29 Jul 2021, C#. Garderoben/MudBlazor, rnwood/smtp4dev, leiurayer/downkyi, dotnet/samples, blazorhero/CleanArchitecture, Unity-Technologies/arfoundation-samples, actions/runner, confluentinc/confluent-kafka-dotnet, Cysharp/UniTask https://t.co/H39ubJMCKi",
1421419213604929542,franz kafka,"@KaIeidoscopean congrats! i didn't even get mr.nothing from the ten roll, i got kafka lol",
1421422979339067397,franz kafka,Kafka failed to predict bikers and meth.,
1421426324003069953,franz kafka,"@RoyalAlbertHall 2/2 Instead, we get QR code in email/PDF but RAH door staff require App. Got tangled up in this last night. Appreciate that UK govs have created Kafka-esque mess with multiple systems. However, needs sorting/clarifying.",
1421427840197840897,franz kafka,I don't like dense stories. I like stories where people have given up trying to explain or understand things and just get on with life. That's why I like Kafka/Roadside Picnic,
1421428552331890689,franz kafka,omg i wna read kafka on the shore i wn read all of joonie's book recommendations tho:((( https://t.co/BRsRHk0T0d,
1421432089904222211,franz kafka,Dear Juju🥰 I'm glad you had great friends.🍀  The Olympics are wonderful as people from all over the world come together.👫  I haven't gone to the sea yet. Do you sleep here? It is a good place.😍,
1421432403889905671,franz kafka,"@Caitrionakelly4 @miffythegamer Don't let that put you off Murakami - that novel is uncharacteristically humdrum for him, though I did enjoy it. Try The Wind Up Bird Chronicle or Kafka On The Shore if you haven't already.",
1421432680592384002,apache kafka,How to Use Kafka Connect to Create an Open Source Data Pipeline for Processing Real-Time Data - KDnuggets https://t.co/nT94yTOVkD,
1421433005617336322,franz kafka,There can be no doubt that Kafka dreamed telephony in all its parts a filter.,
1421434741580914688,franz kafka,@idneswannacry @genshintwtDNI @mikasobs @owltxt Ok but i have Swan Lake + Kafka TM for delta and its 10x better than getting an outfit i can get for free in 2 days,
1421436001285775363,franz kafka,"@MatthewP_B @Wharton1965 Yes. Forster, Kafka and Woolf have all recently made the move.",
1421437778554867715,franz kafka,"Now that we're getting deeper into 2021, the upcoming release of KAFKA and MR KNEFF on bluray should be on the horizon with some luck.",
1421437968766709760,franz kafka,"@kase101 @SkewSmug And if you wonder, yes, BrExit is a lost work of Kafka that was discovered in 2016 and sold to the art loving British public. IMHO oversold to the poor bastards, OTOH, who can gauge what it's worth to live daily in an oversized Kafka production ;)",
1421438292264988674,apache kafka,How to Use Kafka Connect to Create an Open Source Data Pipeline for Processing Real-Time Data - KDnuggets https://t.co/nT94yTOVkD,
1421438757501214722,franz kafka,@kanishqprime  kafka course is awesome,
1421438856558223360,franz kafka,kafka on the shore is such a good read so far am loving it me,
1421439113983578115,franz kafka,"So...many...layers😭😭😭 Lupe is ridiculous, ha.aa",
1421439942178361347,franz kafka,Also what is a good stigmata set for delta? I have marco 2 piece and random stigma on her rn ! — F2P could be Michelangelo TB Marco M! Or you could buy Kafka TM from store. https://t.co/5SZLsOkBl4,
1421441382540054529,franz kafka,@CanibalSuicune2 it means looking really weird or crazy while possessing none of the qualities that Kafka's works actually have,
1421441809763508226,franz kafka,@CanibalSuicune2 I believe it means it's like the famous literary author something something kafka,
1421441856458657799,franz kafka,@kafka78640238 My pleasure my friend Kafka🙏 Thank you very much I'm fine and I hope you too 🌿🕊🙏🕊🌿 I wish you a wonderful weekend.   Greetings a lot Emma https://t.co/K4BZ6vfpMV,
1421443886883368962,franz kafka,"@IentIily Equipment makes a HUGE difference, my kafka carried me through 8-14 (with nemesis as converter) just bc her equipment was stupidly high level",
1421445038639177730,apache kafka,Data Scientists: Need to ensure uninterrupted processing of data in the event of a failure within a business critical environment? View this blog and video to learn how! #IoT #eventstreamprocessing #streaminganalytics #Kafka #Kubernetes #SASGF https://t.co/UhNS7BFUMx,
1421445802757705731,franz kafka,@Caitrionakelly4 @lesserspottedH Start with 'Kafka on the shore'. That started me with Marukami.,
1421445881136570369,franz kafka,"Kafka, by way of Douglas Adams.",
1421448347987099653,franz kafka,@AmandaJCarrod Kafka: CHECK ✔️  Daniel Hannan: CHECK ✔️ [Good work at The Tele]  J.S. Mill: Who dat? 😃 X,
1421451941540925450,franz kafka,Bellissimo thread.,
1421452168582795264,franz kafka,so many kafka n margaret atwood hell yeahhhhh.,
1421453742453542918,franz kafka,"I especially liked this little section. Terribly long corridors of filing cabinets, each labelled with characters from Kafka's life and novels. Dark, eerie, mechanical, almost sterile. Old telephones on the wall playing excerpts read from The Trial, over and over again. https://t.co/dMIftkqfaP",
1421454186911346688,franz kafka,"Bringing It All to @AssemblyFest as part of @edfringe_review   'Cook commands the stage... A mad hatter's tea party with Beckett, Kafka and Poe.'  Medium starMedium starMedium starMedium star½ @TheReviewsHub   https://t.co/aPGKhfnWJn",
1421454356075974656,apache kafka,How to Use Kafka Connect to Create an Open Source Data Pipeline for Processing Real-Time Data | #AI #ML https://t.co/xZsFLk2GdJ,
1421454423340036098,franz kafka,@RhythmOfNull I'm probably fucking too stupid to understand kafka anyway,
1421454917282189315,franz kafka,@yohsidas Yeahh it is in my top 10 new shounen reads that I read this year! I  can't wait to see how the story will keep unfolding now that Kafka was placed in the first unit 😂,
1421454925591040002,apache kafka,#OpenSource |  Error Handling Patterns for Apache #Kafka Applications https://t.co/8pWedoriAm,
1421455559195336705,franz kafka,"Bringing It All to @AssemblyFest as part of this year's @edfringe_review   'Cook commands the stage... A mad hatter's tea party with Beckett, Kafka and Poe.' ⭐️⭐️⭐️⭐️1/2 - @TheReviewsHub   https://t.co/aPGKhfnWJn",
1421455973957447685,franz kafka,"Bible, and quit bothering her. Call Thomas Sawyer. Declaims Examination day.  - Tom Sawyer's Metamorphosis  #kafka #TomSawyer #Twain",
1421457354739044352,franz kafka,"Bringing It All to @AssemblyFest  as part of this year's @edfringe_review   'Cook commands the stage... A mad hatter's tea party with Beckett, Kafka and Poe.' ⭐️⭐️⭐️⭐️1/2 - @TheReviewsHub  https://t.co/aPGKhfnWJn  Image Michael Hani https://t.co/2qwWGGQeYP",
1421457645966344193,franz kafka,"@Bozzle @MatteristBooks @whatSFSaid I am a Cat, Kafka on the Shore, and The Travelling Cat Chronicles.",
1421458020421226496,franz kafka,@tawinvc what books do u like 👀 i’m gonna read kafka on the shore and 1q84 after this,
1421458381714427909,franz kafka,"Thanks @billreviews for this write up of ""The Film of Her"" (12', 1996). I made this link to the film available to the public, and will keep it open for a few days: https://t.co/1b39z0qFp5",
1421458473221558274,apache kafka,is event sourcing with kafka still a thing or ready to become extinct?  i guess if the only goal is to use event sourcing one would prefer approaches that involve less architecture/devopsy actions,
1421459402217951233,franz kafka,@godhakyun OMG 1q84 is soooo good but also ITS SO LONG jsjssj kafka was my first murakami novel I'd say it has some weird parts too but its really good! but my most fav book of his is colorless tsukuru tazaki I love it sm,
1421461088521138182,franz kafka,"@English_Channel Very drunk if Kafka, Poe and Caroll all came to visit you in your dreams.",
1421461790404317187,franz kafka,"I feel some change in the air. Chrysalis, etching, aquatint, in reference to #Kafka’s #Metamorphosis https://t.co/QIgq0kB0Js",
1421461829658714117,franz kafka,"can i get ""ily kafka"" before july ends?",
1421463520667848713,franz kafka,"Kafka is finally home huhuhu Umabot ng Php 26, 200 ang bill but Im super grateful for everyone's donations and prayers. https://t.co/oPH6FjD5hw",
1421464277001506817,franz kafka,"Every day it seems, we find new lows in the Trump presidency, new evidence of criminality and inadequacy. The idea that there is anything left, anything at all, protecting this man from going directly to jail (do not collect 200$) is absurd beyond anything Kafka ever wrote.",
1421469511006445574,franz kafka,@renaissancezoee “Every revolution evaporates and leaves behind only the slime of a new bureaucracy.”  -Kafka https://t.co/GlxBiscCVT,
1421470062674812928,franz kafka,@saigasms @greyhood16 😭😭😭😭 can't wait to get cancelled with kafka,
1421471789767483403,franz kafka,@kafka78640238 Thank you dear Kafka ✨⭐️🧚🏻 You too ⭐️have a great weekend 💫 https://t.co/IHdChnwYTA,
1421472867120664581,franz kafka,@kafka78640238 Good evening dear kafka ⭐️✨🧚🏻‍♀️ Have a happy Saturday night and happy weekend 🌈🌻🥂 https://t.co/YLolK1chN1,
1421473747538698248,apache kafka,🤔Is there any performance major differences of having a single @KafkaConnect or multiple connectors running embedded @ksqlDB ?,
1421474086618796040,franz kafka,I respect how not fun Kafka is,
1421474123407036424,apache kafka,@KafkaConnect @ksqlDB The advantage of having multiples is the fact that if one of the connectors fails. It may not affect the orders (unless the issue is with the DBMS itself).,
1421476668091387913,franz kafka,"NIGHTBITCH by Rachel Yoder has been described as “a Kafka-esque dish of raw meat feminism, served so rare it drips with blood.” Doesn’t this pique your interest about this new release? 🩸   Come by the shop to pick up your copy today. Open 12-6. https://t.co/tpoxFvaniJ",
1421476760886128641,franz kafka,@kafka78640238 Dear Kafka🥰 😂😂😂okay 🚿🌊  You can cool off under the shower too.👍love the foto😅,
1421477956921159688,franz kafka,"@kurapikamylove Kafka on the shore, it’s high time I read it 💀 hahaha that’s exactly what happens and I end up hoarding a bunch of books 😩",
1421478282839695361,franz kafka,"@clarihq elects Stephanie Buscemi, CMO of Confluent & former CMO of Salesforce, to board #board #Boardroom #WomenOnBoards #BoardDiversity https://t.co/7ZcROwB23q",
1421479645900206088,franz kafka,Sad. RIP. ‘Ka’ was brilliant.,
1421480278309183496,franz kafka,"@Tofu_Boyz Kafka is hot as fuck, nice work!",
1421480428020588549,franz kafka,@kafka78640238 Dear Kafka🥰 Yes I sleep here and I have a beautiful room. It feels like a different century and it’s much fun. The surrounding is quiet and beautiful.  Did you go and watch Olympic Games? Nice to meet people from all over the world.  Take care dear Kafka🌊🌸🙋‍♀️ https://t.co/iV5RXxqVDp,
1421480573369991179,franz kafka,@kazweida Nobody can tell him anything  When will this Kafka novel be over?,
1421481047372353536,franz kafka,"“A book is written when there is something specific that has to be discovered,” he wrote. “The writer doesn’t know what it is, nor where it is, but knows it has to be found. The hunt then begins. The writing begins.”",
1421482374148280321,franz kafka,@stoneandthestar He had to be such a life of the party ;) This excerpt accurately sums up Kafka's indifference to the concerns and problems of the bourgeois circles that he always found impossibly boring.,
1421482677601927170,apache kafka,"If you want to know how to create your first @kafkastreams application, then feel free to check out my youtube video  #apachekafka #Analytics #Coding #Programming #YouTube    https://t.co/ErfqHWEcAK",
1421483267476254721,franz kafka,"@ARIHANTDEV13 Prob Kafka x mappa, wit is more focused on originals now",
1421483595353440258,apache kafka,@cyb3rops @KaiWaehner @sigma_hq Need python support for ksqldb udf asap,
1421485813016190986,franz kafka,"New film 'The Green Knight,' with Dev Patel, adds a Kafka-esque twist to the heroic quest, writes @nberlat.   Gawain signed a contract and has to fulfill the terms due to an abstract principle that everyone has decided is more important than his life:   https://t.co/sVTvBMgDr7",
1421485838437867520,franz kafka,When you were supposed to have read the book for your group project on Kafka...😬   Want to know how it ends?   Grab your tickets to our live performance of Metamorphosis at this year's @edfringe here 👉 https://t.co/QcsOzzOEjm   #Meta2021 #YoureMuted #EdFringe #SHFest https://t.co/KweJr4EsaN,
1421486831732994053,franz kafka,"RT @doravell: @clarihq elects Stephanie Buscemi, CMO of Confluent & former CMO of Salesforce, to board #board #Boardroom #WomenOnBoards #BoardDiversity https://t.co/62pQHRYvaG",
1421487036528136195,franz kafka,Interesting,
1421487790554902528,franz kafka,This is the worst thing ever the moment I saw a gold bag on Kafka banner my eyes were filled with tears,
1421491018185134085,franz kafka,"This is why many famous authors kept their day jobs. Not everyone were as lucky as Stephen King or JK Rowling. Kafka worked as an insurance clerk, Harper Lee was a ticket agent, Nabokov was a university professor, and Vonnegut took jobs ranging from journalist to teacher.",
1421491123365847043,franz kafka,"@stoneandthestar I remember reading ‘Metamorphosis” to my daughter when she was, like, eight and she burst out laughing. That taught me something about Kafka.",
1421491873491922946,franz kafka,"Finished Kafka’s “Amerika: The Missing Person” yesterday. For the first half or so it’s a very different world than the Trial and the Castle. Very funny, opening to other perspectives besides the protagonist. Might be my favorite work of his",
1421492196134555649,franz kafka,"@thomas_decker In Kafka, you wouldn't know what the document was for and they wouldn't have provided the return address.",
1421492674373246978,franz kafka,"I admire the wisdom of the quote, and the beauty of the images. I think I'll take this tweet as a sign to disengage from social media for the remainder of this day, which is, where I am, coincidentally, a beautiful, crisp & sunshine-filled one, as if it were already mid-September",
1421494247971332103,apache kafka,"Just publicised a project I've been working on for a minute. A #Kubernetes informer that publishes resource data to an event broker. Has support for the major cloud providers (AWS, GCP, Azure) as well as some open source ones (Kafka, NATS, RabbitMQ).   https://t.co/E3vSiQlvTQ",
1421495126304690183,apache kafka,Learn how Apache Kafka has evolved and the importance of it in supporting your data needs https://t.co/1MDDtVgEUf https://t.co/UNKUN7wjRT,
1421495639989440522,franz kafka,"this stupid kafka roach is going to follow me everywhere. read it once in school, i see it all the time.  /nm /lh",
1421496196728717315,franz kafka,"some of my favorites: @PKhakpour's The Last Illusion, Pelevin's Sacred Book of the Werewolf, Oyeyemi's Boy Snow Bird, Murakami's Kafka on the Shore, Casares's Invention of Morel, Kafka's The Trial, Saramago's Blindness, Carrere's The Mustache, Winterson's Sexing the Cherry",
1421498393373904903,franz kafka,Four Ways To Become A Successful Future-Fit Organization https://t.co/Xf8oydyeph #DataScience #BigData #cassandra #Kafka #hadoop #spark #Machinelearning #Deeplearning #ArtificialIntelligence #NLP #NoSQL #IoT #TensorFlow #Serverless #kubernetes #GlobalAI #AutoML #DataMining #R,
1421500611443503106,franz kafka,Super funny👇🤣,
1421500765751808000,franz kafka,@taslimanasreen Inspired by Kafka on the shore ? @harukimurakami_,
1421501163170631684,franz kafka,@kingjayco unrelated to the tweet but this pic is just kafka's metamorphosis if the main guy wasn't a coward,
1421501283479982086,franz kafka,"Put her chair and that local hunt to do so, and your subordinates from the outset.  - The Hounds of Metamorphosis  #ConanDoyle #kafka",
1421501457212317703,franz kafka,Isolated from the word salad produced by visitors to the Goethehaus from Schiller to Kafka his beloved consciousness.,
1421501986420281358,franz kafka,"The criteria for claiming benefits in the UK (are), a Kafka-esque, Catch-22  situation designed to frustrate and humiliate the claimant to such an extent that they drop out of the system and stop pursuing their right to ask for support if necessary"". - Ken Loach, 2016.",
1421502487295627264,apache kafka,kafka cluster when data engineers and event sourcing software engineers use it at the same time https://t.co/IS0j4gKPOs,
1421503689072672768,franz kafka,The end. My point is that the trial by Kafka is perfect for the justice system and he is so weird that he knows how it really works for anyone who gets sucked in by the justice system. The man gets charged with a crime that doesn't exist and it is so good. Kafka was weird but I,
1421504356747079682,franz kafka,"One day your kid is a cute little tyke playing with blocks. Then, all of a sudden, you're exchanging Kafka themed memes. @GaryLikesDogs",
1421504728068984832,franz kafka,"@goodreads Friday evening, I finished reading Brave New World (not a fan) and then picked up a copy of Kafka's The Trial.",
1421505939929174017,apache kafka,#ITOps and #BigData Come of Age https://t.co/owlpnb1zwV #DataScience #Bigdata #cassandra #kafka #hadoop #spark #NLP #NoSQL #IoT #MachineLearning #Deeplearning #ArtificialIntelligence #R #Python #TensorFlow #Serverless #kubernetes #GlobalAI #AutoML #DataMining #DataBase,
1421506793856028675,franz kafka,@TyranticDino YOUR TASTE!!!!! I LOVE KAFKA TOO,
1421507194101460992,apache kafka,R4 d53 #100DaysOfCode   Being Saturday I went back to my kafka course on udemy. Did a bit of consumer offsets and some overall integration with a h2 database using jpa.,
1421507676278706181,franz kafka,@3wahon OMG YESSSSSS A FELLOW KAFKA FAN she’s been carrying me since day one I love her sm her stories are so good 😭 what server do you play miwa can I add you please? 👀,
1421507766506639370,franz kafka,"Me at 16, reading Kafka's ""The Castle"": ""This guy's crazy, where did he get his ideas from""  Me in my 30s, settling in Germany: ""This reminds me of something""",
